Time,AMFIsolate,Fertilizer,Tillage,SoilpH,SoilP,ShootP,ShootBiomass.g,RootBiomass.g,TotalBiomass.g,RootShootRatio,ShootPMR,ShootMR,RootMR,TotalBiomassMR,RootShootRatioMR
2,Cuba8,High,Till,5.74,38.54,0.42,2.61,1.27,3.88,0.49,0.310789955,-0.029739777,-0.539855072,-0.288073394,-0.48779996
2,Cuba8,High,Till,NA,NA,NA,2.41,4.67,7.08,1.94,NA,-0.104089219,0.692028986,0.299082569,1.03974667
2,Cuba8,High,Till,NA,NA,NA,0.91,0.67,1.58,0.74,NA,-0.661710037,-0.757246377,-0.710091743,-0.224985541
2,Cuba8,High,Till,5.37,147.72,0.32,2.89,5.85,8.74,2.02,0.009197588,0.074349442,1.119565217,0.603669725,1.130759425
2,Cuba8,High,Till,5.54,292.71,0.33,3.53,1.41,4.94,0.4,0.037220664,0.312267658,-0.489130435,-0.093577982,-0.57954376
2,Cuba8,High,Till,6.04,89.62,0.39,2.73,1.11,3.84,0.41,0.224256513,0.014869888,-0.597826087,-0.295412844,-0.57200694
2,Cuba8,High,Till,NA,NA,NA,2.47,6.29,8.76,2.55,NA,-0.081784387,1.278985507,0.60733945,1.68058811
2,DAOM197198,High,Till,6.2,87.09,0.36,3.6,3.94,7.54,1.09,0.115618721,0.338289963,0.427536232,0.383486239,0.152046784
2,DAOM197198,High,Till,NA,NA,NA,1.86,1.08,2.94,0.58,NA,-0.308550186,-0.608695652,-0.460550459,-0.388794567
2,DAOM197198,High,Till,5.56,81.11,0.32,2.9,2.7,5.6,0.93,0.000874145,0.078066914,-0.02173913,0.027522936,-0.019963702
2,DAOM197198,High,Till,NA,NA,NA,1.29,0.65,1.94,0.5,NA,-0.520446097,-0.764492754,-0.644036697,-0.469604243
2,DAOM197198,High,Till,5.17,227.92,0.34,1.98,2.38,4.36,1.2,0.070881121,-0.26394052,-0.137681159,-0.2,0.265284423
2,DAOM197198,High,Till,5.98,51.11,0.4,2.02,11.22,13.24,5.55,0.265046358,-0.249070632,3.065217391,1.429357798,4.846795206
2,DAOM197198,High,Till,5.58,121.99,0.41,1.44,2.96,4.4,2.06,0.284302297,-0.464684015,0.072463768,-0.19266055,1.16374269
2,DAOM197198,High,Till,NA,NA,NA,1.96,0.51,2.47,0.26,NA,-0.271375465,-0.815217391,-0.546788991,-0.726100967
2,DAOM197198,High,Till,NA,NA,NA,1.74,1.63,3.37,0.94,NA,-0.353159851,-0.40942029,-0.381651376,-0.013914096
2,DAOM197198,High,Till,NA,NA,NA,2.41,6.38,8.79,2.65,NA,-0.104089219,1.311594203,0.612844037,1.786634636
2,CC4,No,NoTill,NA,NA,NA,0.73,0.78,1.51,1.07,NA,-0.336363636,-0.843687375,-0.751644737,-0.77739726
2,CC4,No,NoTill,NA,NA,NA,1.03,2.11,3.14,2.05,NA,-0.063636364,-0.577154309,-0.483552632,-0.573220065
2,CC4,No,NoTill,NA,NA,NA,0.62,0.35,0.97,0.56,NA,-0.436363636,-0.929859719,-0.840460526,-0.882392473
2,CC4,No,NoTill,NA,NA,NA,1.33,3.92,5.25,2.95,NA,0.209090909,-0.214428858,-0.136513158,-0.385964912
2,CC4,No,NoTill,6.18,44.02,0.47,1.41,3.31,4.72,2.35,-0.233913648,0.281818182,-0.336673347,-0.223684211,-0.510933806
2,CC4,No,NoTill,5.89,58.66,0.46,1.41,7.22,8.63,5.12,-0.253642069,0.281818182,0.446893788,0.419407895,0.06678487
2,CC4,No,NoTill,6.87,38.57,0.62,0.74,0.37,1.11,0.5,0.013949611,-0.327272727,-0.925851703,-0.817434211,-0.895833333
2,CC4,No,NoTill,5.55,56.16,0.56,1.39,2.26,3.65,1.63,-0.083784426,0.263636364,-0.547094188,-0.399671053,-0.661270983
2,CC4,No,NoTill,5.73,56.54,0.61,1.27,1.41,2.68,1.11,0.003590091,0.154545455,-0.71743487,-0.559210526,-0.768700787
2,CC4,No,NoTill,NA,NA,NA,1.02,4.55,5.57,4.46,NA,-0.072727273,-0.088176353,-0.083881579,-0.070669935
2,Cuba8,No,NoTill,NA,NA,NA,0.77,5.56,6.33,7.22,NA,-0.3,0.114228457,0.041118421,0.504329004
2,Cuba8,No,NoTill,5.97,47.85,0.59,1.22,8.5,9.72,6.97,-0.039190298,0.109090909,0.703406814,0.598684211,0.451502732
2,Cuba8,No,NoTill,NA,NA,NA,0.91,6.65,7.56,7.31,NA,-0.172727273,0.332665331,0.243421053,0.522435897
2,Cuba8,No,NoTill,NA,NA,NA,1.15,0.44,1.59,0.38,NA,0.045454545,-0.911823647,-0.738486842,-0.920289855
2,Cuba8,No,NoTill,5.67,36.48,0.58,1.05,6.54,7.59,6.23,-0.043692088,-0.045454545,0.310621242,0.248355263,0.297619048
2,Cuba8,No,NoTill,NA,NA,NA,0.76,0.93,1.69,1.22,NA,-0.309090909,-0.813627255,-0.722039474,-0.745065789
