phylum,kingdom,CC4_203_high_fert,CC4_261_no_fert,CC4_264_no_fert_till,CC4_284_high_fert,CC4_287_high_fert_till,CC4_304_no_fert,CC4_309_high_fert,CC4_50_high_fert_till,CC4_59_no_fert_till,CC4_82_no_fert_till,CC4_93_no_fert,Cuba8_248_no_fert_till,Cuba8_254_no_fert,Cuba8_260_no_fert_till,Cuba8_263_high_fert_till,Cuba8_279_no_fert,Cuba8_308_no_fert_till,Cuba8_315_high_fert,Cuba8_320_high_fert_till,Cuba8_7_high_fert_till,Cuba8_8_high_fert,DAOM197198_104_no_fert,DAOM197198_150_high_fert_till,DAOM197198_158_high_fert,DAOM197198_16_high_fert_till,DAOM197198_18_no_fert,DAOM197198_210_no_fert_till,DAOM197198_235_no_fert,DAOM197198_240_no_fert_till,DAOM197198_286_high_fert_till,DAOM197198_40_no_fert_till,DAOM197198_5_high_fert,DAOM197198_72_high_fert,Control_125_high_fert,Control_128_high_fert_till,Control_139_no_fert_till,Control_17_no_fert,Control_23_no_fert_till,Control_25_high_fert_till,Control_30_high_fert,Control_33_high_fert,Control_52_no_fert,Control_71_no_fert_till,Control_74_no_fert,Control_95_high_fert_till
Fibrobacterota,Bacteria,4.193684741,93.16620269,194.2164567,5.076974609,2.389901081,23.43126945,103.3266746,85.73853094,181.8903579,195.6349573,50.14279835,59.99409912,103.0516921,173.3650594,7.515259907,67.07107082,187.5933898,16.93188982,4.411999364,172.5190353,42.10613835,0,6.504929402,17.32013625,48.03039668,113.8797049,116.8977828,115.5332055,99.48647544,3.339220966,55.95261655,0.133163704,40.47658081,3.613887859,4.473735268,68.60365046,71.93238905,25.24027765,5.477876832,33.01542107,9.799836064,32.87705686,17.53678315,17.6651578,26.89636092
Fidelibacterota,Bacteria,2.667334981,12.49966938,24.41539739,5.329814515,1.813994719,6.624619803,3.65710614,4.077956395,8.450529332,8.485062912,2.339396782,8.564578529,9.971588811,16.35431429,4.756595388,4.8453354,14.92958539,1.239871493,5.943511788,9.746987354,3.077813098,0,5.331279435,3.149545734,0,12.44559443,16.48101026,13.15141009,10.07211088,4.891869335,12.62099552,0.690923152,6.483029803,2.153542978,3.784744807,6.273375937,8.164907296,7.926411667,2.304050845,2.726784162,1.770734108,4.995588821,6.1148325,4.371250993,1.898777593
Fusobacteriota,Bacteria,0.439218547,0.820005342,0.508102186,0.418098938,0,0.15152909,1.115077837,0.358319367,0.489062826,2.462744854,1.301312512,0.20420297,1.255016339,1.713251925,1.740521659,0.540703025,2.311164115,0,0.542167207,1.252328684,0.969706701,0,2.33496977,1.742153022,32.58629127,0.787624345,1.319692011,1.139064916,1.714395713,1.071993604,0.135071338,0,0.040905628,1.771966251,1.297248276,1.728870417,1.230195044,0.603079832,0.546355612,0.085297236,0.376750201,1.264847,0.678644973,1.658731017,0.240611587
Gemmatimonadota,Bacteria,679.4329101,8445.103619,7466.901312,2208.021775,827.220431,3226.842227,1648.544736,372.3221357,1027.361705,2352.869364,732.5350511,2044.971086,1806.545578,2695.51774,1959.952415,1907.841607,3318.343952,3167.215364,1286.284694,833.5183152,1510.381908,0,1038.196761,1097.515028,2533.496127,3935.308287,3078.77654,3174.761252,1752.562028,2069.91882,1020.134721,4507.873982,759.6326169,603.942155,996.1066696,597.3605733,5751.059406,588.6157301,1368.119005,446.5010033,324.9185739,730.9124825,549.8073185,434.3149224,449.2060614
Ignavibacteriota,Bacteria,19.69022801,37.19964041,62.52076889,18.65876875,6.887503616,56.13532657,36.09738587,15.50686664,119.757134,47.88070854,56.84637992,41.71987441,69.20666192,72.00060076,15.06323209,37.02549675,104.8205854,13.44975432,17.03607442,19.90273189,13.6005091,0,26.68928353,27.18007077,26.52519643,38.56026263,78.91723676,67.65519326,42.11447598,9.188180261,87.98695298,9.485408286,19.8792897,61.32058805,96.2244036,333.6323997,201.4428506,66.04476991,22.91482815,37.04392596,57.55951129,45.30232369,376.7828578,63.84774451,32.01518811
Kiritimatiellota,Bacteria,1.196928244,5.17959829,15.71908654,0.611258879,0.82498114,2.751077727,0.701317237,0.891309242,4.527409982,4.444858554,2.510361936,4.115289299,2.856769339,5.675231257,0.80434038,0.801306981,7.073390334,0.167000757,1.192752933,4.089039968,3.986489061,0,1.17901471,2.23794109,0,2.840255593,7.160847058,6.486758669,4.237605479,0.807806524,4.029887527,0,1.963494858,0.095242531,0.036152199,1.808305703,2.57316282,0.276335268,0.129067168,0.599309741,0.895574156,0.902051047,1.242735125,0.579297053,0.096880785
Lentisphaerota,Bacteria,2.525139657,2.408551777,7.670767571,1.131557788,0.16434606,2.192283362,1.382175832,1.396733672,4.100397433,2.810795594,1.880734034,3.211865444,4.750612294,5.564791466,1.686162335,2.158237314,8.527221501,1.067430838,3.349415419,3.41666227,1.01841343,0,1.132926276,0.04089088,0,6.446430029,8.906570195,5.809480111,4.786849365,1.956305916,2.197442916,0,2.856854489,0.114674315,0.922083075,3.374519271,10.2776823,2.239100511,1.221558085,0.857370247,0.788987586,2.341688811,0.57735829,0.538080775,1.187355786
Methanobacteriota,Archaea,20.07549346,19.5751375,52.49888628,10.57072032,7.23102025,46.09611016,16.26032159,15.14730828,14.39341238,19.46754591,11.90799849,42.56998034,80.15115475,79.62861145,54.36221678,35.62479845,57.40953562,46.5984931,31.46092498,26.72137556,14.20170241,0,16.9348741,17.47478182,28.65767008,25.08289543,52.00080078,38.39397784,20.28277845,17.66485605,13.30325535,5.217617435,24.00413386,93.87195182,87.30680434,102.5742373,38.05877988,59.95649259,110.7198808,1017.885277,259.0261664,135.4541265,27.68210024,9.135804734,423.0229738
Mycoplasmatota,Bacteria,25.71365885,22.83304883,16.95231745,22.44286174,19.09100659,25.17457076,26.5511597,80.43795707,23.68535046,31.22738932,23.93451388,37.20942093,16.43574742,20.16515929,23.64442337,14.58110967,18.42258221,20.69986837,14.7187031,15.53909654,23.65756647,0,32.48272741,11.45759881,74.89164032,31.87639351,16.02986073,27.36043464,22.66995283,11.76550958,25.76086268,5.895731726,20.1095264,19.86609085,22.06011454,29.09996754,15.92302236,14.67298044,13.5362115,15.03505239,21.8609832,15.15790461,34.63617003,20.35800856,18.05243475
Myxococcota,Bacteria,821.4879996,3299.115113,7135.273796,1055.642315,816.967193,1806.274987,761.8760036,1189.395949,4848.295028,3723.484608,2064.392261,2681.16031,3495.063437,6222.523691,849.5431224,2290.426975,8029.149674,807.0928676,780.6854047,757.3899472,1027.467415,0,958.5319775,1170.568605,6064.681424,4526.00175,7691.996598,5564.847545,3727.247853,938.6312763,3265.341404,1098.495615,1681.688102,528.6818585,547.3640302,3301.903827,3823.781203,3280.705087,666.2775956,1035.835089,481.4063057,2399.423386,2586.357265,655.9334156,504.3670322
Nanobdellota,Bacteria,9.331411105,22.1882894,67.13037035,12.99499058,10.97182037,21.17794461,20.69331393,16.94280097,26.29805135,17.93741025,18.24840032,18.13250737,31.52364837,37.31040924,17.29455473,16.72713552,37.03046297,8.859026905,11.85421494,25.12884877,20.4070926,0,16.40710808,15.91796644,0,26.85978578,41.99560645,49.9078984,23.69441198,18.04562899,14.53960942,15.35058854,19.98361868,8.701974973,8.26508254,11.92563482,9.246097702,6.322774196,7.135480184,6.833853711,5.803196278,6.369218079,5.752306652,14.18485708,12.7640225
Nitrososphaerota,Archaea,344.3281328,300.0637781,411.5388982,947.0091907,429.6201605,1114.477364,736.0306121,396.7899238,299.7187347,506.0172555,855.6319447,175.0147035,215.0519265,192.9339579,1319.552129,308.7680034,265.1086929,633.4431446,1389.392616,273.5695771,430.4282217,0,662.8245835,599.3373734,211.8886981,277.454532,235.4822055,213.0117775,180.7064392,715.0337217,2440.029766,693.4215647,959.4535133,161.2794291,221.7540071,656.9943555,139.2084913,1129.816395,244.8839496,754.8109442,336.8284668,815.0383729,696.2236891,27.82588444,264.6581897
Nitrospinota,Bacteria,16.01146774,56.08009068,78.76739744,51.38800698,79.73514013,63.05402061,30.2624878,4.897090579,12.9577387,14.75777633,17.56571448,22.09926871,25.61168324,29.88342112,57.12649696,18.77705076,25.09945872,24.10865941,39.12257127,4.776713514,4.515476143,0,18.18117087,15.37424247,117.8095511,59.01413926,42.69032509,70.22824844,17.46249131,39.88240532,19.12433147,31.26935843,14.13523306,8.869983341,23.68917647,21.01815931,98.51088496,9.361166987,16.5575447,4.078614544,3.937365231,8.471709186,10.51491493,9.273270535,6.655431529
Nitrospirota,Bacteria,1028.613447,410.5959048,628.2330344,2004.513077,474.2024764,1330.472527,999.9566413,197.7984494,155.7185301,126.6028952,228.8217147,238.9178066,246.0060775,330.1892706,1569.83587,254.0839136,575.7859576,1054.557879,1505.869931,548.1384896,495.6750557,0,1072.91743,2784.409087,353.9449893,453.8587836,472.0544441,394.6575133,627.1491594,3103.249951,113.3687828,3363.187515,486.6610599,747.8089608,842.0207254,150.2688467,331.8942555,99.30565406,825.7131725,629.4393042,205.5020355,88.39409169,116.6055496,51.64058941,225.2838481
Planctomycetota,Bacteria,1655.24435,3911.189364,7481.654361,1035.467316,741.8668318,2863.422884,1633.72285,1275.779787,4527.803107,3234.250836,2947.636788,2476.887915,2885.786656,4098.148869,2345.703339,10627.3009,6254.061322,4775.182149,1893.389363,3310.211948,5707.305832,0,1464.315978,1523.313629,6328.081688,3404.23807,6631.843667,6186.78447,3138.839505,1537.902428,3564.698394,1673.527897,2213.882019,1008.733031,577.6680659,4200.341175,2998.404083,2260.945997,407.6513226,1332.600194,1027.962756,2002.175762,1422.715369,539.2552011,756.9759418
Promethearchaeota,Archaea,0.554955002,0.048285317,1.621678504,0.804131239,0.124470712,1.208997062,0.266697741,0.662833268,1.010099258,1.553495862,0.146071357,0.648830172,0.858395286,1.724321059,0.138611895,0.111341783,0.609397982,0.449166714,0.747336647,0.898175365,0.281606744,0,0.941306442,0.265315243,0,0.822037079,0.894300286,1.42337109,0.518893314,0.604316909,0.61335814,0,0.402963659,0.074644405,0.164778797,0.774163723,0,0.701801837,0,1.011255531,0.429269351,0.196069795,1.118509027,0,0.320864199
