"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","phylum","comparison"
"Mucoromycota",0.0885834173502473,0.210691457264951,0.0606473190087931,1.46063204108666,0.532402261061382,0.502514682241483,5,0.999308371394338,0.694,"Mucoromycota","Cuba8_DAOM197198"
"Olpidiomycota",6.62274129390111e-05,0.210691457264951,6.81741195610642e-05,0.97144507865174,0.000128935676124086,0.00012442953199631,6,0.999685666358766,0.439,"Olpidiomycota","Cuba8_DAOM197198"
"Zoopagomycota",0.00180454948896625,0.210691457264951,0.00167146879445116,1.07961901230636,0.00279496289329845,0.00518301917498414,8,1,0.123,"Zoopagomycota","Cuba8_DAOM197198"
"Ascomycota",0.0827693218047409,0.26603360519032,0.0499583571068937,1.65676628692259,0.331266657989832,0.447290748039522,7,0.450668689185197,0.056,"Ascomycota","Cuba8_Control"
"Basidiomycota",0.0592816033136641,0.26603360519032,0.0454490977240344,1.30435159953274,0.125721073621167,0.190205964621953,1,0.761792247224145,0.065,"Basidiomycota","Cuba8_Control"
"Blastocladiomycota",0.000226250150494528,0.26603360519032,0.000262582433280161,0.861634754725313,0.000875873006639987,0.000715807521878095,2,0.984627265646928,0.768,"Blastocladiomycota","Cuba8_Control"
"Chytridiomycota",0.00219766550926953,0.26603360519032,0.0018250966987361,1.20413647714745,0.00581189395520263,0.00752372537036554,4,0.992888122419881,0.847,"Chytridiomycota","Cuba8_Control"
"Cryptomycota",0.000262719078811225,0.26603360519032,0.000188016542145514,1.39731895828557,0.000807950216435697,0.000652138144543323,9,0.997315581069536,0.829,"Cryptomycota","Cuba8_Control"
"Microsporidia",0.000162759783143052,0.26603360519032,0.000180450170604242,0.901965249453892,0.000190391579918479,0.000392619472721279,5,0.998303122018069,0.248,"Microsporidia","Cuba8_Control"
"Mucoromycota",0.119893016130334,0.26603360519032,0.071993449116114,1.66533229901189,0.532402261061382,0.349612233525951,3,0.999153579050866,0.009,"Mucoromycota","Cuba8_Control"
"Olpidiomycota",6.24166334636228e-05,0.26603360519032,4.1922153085276e-05,1.4888699379695,0.000128935676124086,0.000174502506334111,6,0.999765380642724,0.574,"Olpidiomycota","Cuba8_Control"
"Zoopagomycota",0.00117785278639898,0.26603360519032,0.00113794649094958,1.03506869239176,0.00279496289329845,0.00343226079673102,8,1,0.806,"Zoopagomycota","Cuba8_Control"
"Ascomycota",0.0898695024842557,0.2694629605939,0.0640368891230652,1.40340206582405,0.341611695381889,0.447290748039522,7,0.436892004753737,0.007,"Ascomycota","DAOM197198_Control"
"Basidiomycota",0.0555208882446583,0.2694629605939,0.0456901952192629,1.2151597947485,0.136213534772623,0.190205964621953,1,0.770405383684119,0.158,"Basidiomycota","DAOM197198_Control"
"Blastocladiomycota",0.000635546815077983,0.2694629605939,0.00127693613344334,0.497712296200898,0.00174839760270985,0.000715807521878095,2,0.97644812930782,0.149,"Blastocladiomycota","DAOM197198_Control"
"Chytridiomycota",0.00317774577960658,0.2694629605939,0.00236577290513553,1.34321674439185,0.0115648304654455,0.00752372537036554,4,0.98824101458082,0.04,"Chytridiomycota","DAOM197198_Control"
"Cryptomycota",0.000326361569841891,0.2694629605939,0.000276647722251297,1.17970091055163,0.000940095230288498,0.000652138144543323,9,0.995538595921463,0.276,"Cryptomycota","DAOM197198_Control"
"Microsporidia",0.000168071638423674,0.2694629605939,0.000189301943014548,0.887849515684884,9.9315598581655e-05,0.000392619472721279,3,0.997897164288993,0.196,"Microsporidia","DAOM197198_Control"
"Mucoromycota",0.117726213060746,0.2694629605939,0.0909509038489376,1.29439299752623,0.502514682241483,0.349612233525951,5,0.999108319874617,0.012,"Mucoromycota","DAOM197198_Control"
"Olpidiomycota",7.22031280648848e-05,0.2694629605939,5.77900812863164e-05,1.24940346955319,0.00012442953199631,0.000174502506334111,6,0.999732048041387,0.258,"Olpidiomycota","DAOM197198_Control"
"Zoopagomycota",0.00196642787322448,0.2694629605939,0.00173162072124913,1.13559964320938,0.00518301917498414,0.00343226079673102,8,1,0.012,"Zoopagomycota","DAOM197198_Control"
