name,uid,phylum,family,genus,kingdom
Abditibacteriaceae,2109261,Abditibacteriota,Abditibacteriaceae,NA,Bacteria
Abditibacteriales,2109260,Abditibacteriota,NA,NA,Bacteria
Abditibacteriota,2109258,Abditibacteriota,NA,NA,Bacteria
Abditibacterium,2109263,Abditibacteriota,Abditibacteriaceae,Abditibacterium,Bacteria
Acanthopleuribacter,442869,Acidobacteriota,Acanthopleuribacteraceae,Acanthopleuribacter,Bacteria
Acidicapsa,1078830,Acidobacteriota,Acidobacteriaceae,Acidicapsa,Bacteria
Acidipila,1000999,Acidobacteriota,Acidobacteriaceae,Acidipila,Bacteria
Acidisarcina,2608728,Acidobacteriota,Acidobacteriaceae,Acidisarcina,Bacteria
Acidobacteria,57723,Acidobacteriota,NA,NA,Bacteria
Acidobacteriaceae,204434,Acidobacteriota,Acidobacteriaceae,NA,Bacteria
Acidobacteriales,204433,Acidobacteriota,NA,NA,Bacteria
Acidobacteriia,204432,Acidobacteriota,NA,NA,Bacteria
Acidobacteriota,57723,Acidobacteriota,NA,NA,Bacteria
Acidobacterium,33973,Acidobacteriota,Acidobacteriaceae,Acidobacterium,Bacteria
Alloacidobacterium,2951993,Acidobacteriota,Acidobacteriaceae,Alloacidobacterium,Bacteria
Aridibacter,1562564,Acidobacteriota,Blastocatellaceae,Aridibacter,Bacteria
Blastocatellales,1748771,Acidobacteriota,NA,NA,Bacteria
Blastocatellia,1562566,Acidobacteriota,NA,NA,Bacteria
Bryobacter,911113,Acidobacteriota,Bryobacteraceae,Bryobacter,Bacteria
Bryobacteraceae,1962910,Acidobacteriota,Bryobacteraceae,NA,Bacteria
Bryobacterales,332160,Acidobacteriota,NA,NA,Bacteria
Bryocella,1078860,Acidobacteriota,Acidobacteriaceae,Bryocella,Bacteria
Chloracidobacterium,458032,Acidobacteriota,Chloracidobacteriaceae,Chloracidobacterium,Bacteria
Edaphobacter,388463,Acidobacteriota,Acidobacteriaceae,Edaphobacter,Bacteria
Geothrix,44675,Acidobacteriota,Holophagaceae,Geothrix,Bacteria
Granulicella,940557,Acidobacteriota,Acidobacteriaceae,Granulicella,Bacteria
Holophaga,35838,Acidobacteriota,Holophagaceae,Holophaga,Bacteria
Holophagaceae,574976,Acidobacteriota,Holophagaceae,NA,Bacteria
Holophagae,533205,Acidobacteriota,NA,NA,Bacteria
Holophagales,574975,Acidobacteriota,NA,NA,Bacteria
Luteitalea,2004797,Acidobacteriota,Vicinamibacteraceae,Luteitalea,Bacteria
Mesoterricola,3074468,Acidobacteriota,Holophagaceae,Mesoterricola,Bacteria
Occallatibacter,1742983,Acidobacteriota,Acidobacteriaceae,Occallatibacter,Bacteria
Paludibaculum,1649475,Acidobacteriota,Bryobacteraceae,Paludibaculum,Bacteria
Paracidobacterium,2951992,Acidobacteriota,Acidobacteriaceae,Paracidobacterium,Bacteria
Pseudacidobacterium,2952002,Acidobacteriota,Acidobacteriaceae,Pseudacidobacterium,Bacteria
Pyrinomonadaceae,2048906,Acidobacteriota,Pyrinomonadaceae,NA,Bacteria
Pyrinomonas,1562565,Acidobacteriota,Pyrinomonadaceae,Pyrinomonas,Bacteria
Silvibacterium,1775468,Acidobacteriota,Acidobacteriaceae,Silvibacterium,Bacteria
Solibacteraceae,332161,Acidobacteriota,Solibacteraceae,NA,Bacteria
Sulfidibacter,2915177,Acidobacteriota,Acanthopleuribacteraceae,Sulfidibacter,Bacteria
Terracidiphilus,1742983,Acidobacteriota,Acidobacteriaceae,Occallatibacter,Bacteria
Terriglobales,204433,Acidobacteriota,NA,NA,Bacteria
Terriglobia,204432,Acidobacteriota,NA,NA,Bacteria
Terriglobus,392733,Acidobacteriota,Acidobacteriaceae,Terriglobus,Bacteria
Thermoanaerobaculaceae,2562242,Acidobacteriota,Thermoanaerobaculaceae,NA,Bacteria
Thermoanaerobaculales,2562241,Acidobacteriota,NA,NA,Bacteria
Thermoanaerobaculia,1562571,Acidobacteriota,NA,NA,Bacteria
Thermoanaerobaculum,1434048,Acidobacteriota,Thermoanaerobaculaceae,Thermoanaerobaculum,Bacteria
Thermotomaculum,1172428,Acidobacteriota,Thermotomaculaceae,Thermotomaculum,Bacteria
Tunturiibacter,3154218,Acidobacteriota,Acidobacteriaceae,Tunturiibacter,Bacteria
Vicinamibacteraceae,2211325,Acidobacteriota,Vicinamibacteraceae,NA,Bacteria
Vicinamibacterales,2910145,Acidobacteriota,NA,NA,Bacteria
Vicinamibacteria,1813735,Acidobacteriota,NA,NA,Bacteria
Streptomyces,1883,Actinomycetota,Streptomycetaceae,Streptomyces,Bacteria
Acaricomes,291967,Actinomycetota,Micrococcaceae,Acaricomes,Bacteria
Acidiferrimicrobium,2752474,Actinomycetota,Acidimicrobiaceae,Acidiferrimicrobium,Bacteria
Acidimicrobiaceae,84994,Actinomycetota,Acidimicrobiaceae,NA,Bacteria
Acidimicrobiales,84993,Actinomycetota,NA,NA,Bacteria
Acidimicrobiia,84992,Actinomycetota,NA,NA,Bacteria
Acidimicrobium,53634,Actinomycetota,Acidimicrobiaceae,Acidimicrobium,Bacteria
Acidipropionibacterium,1912215,Actinomycetota,Propionibacteriaceae,Acidipropionibacterium,Bacteria
Aciditerrimonas,1042325,Actinomycetota,Acidimicrobiaceae,Aciditerrimonas,Bacteria
Acidithrix,1609233,Actinomycetota,Acidimicrobiaceae,Acidithrix,Bacteria
Acidothermaceae,85032,Actinomycetota,Acidothermaceae,NA,Bacteria
Acidothermales,1643683,Actinomycetota,NA,NA,Bacteria
Acidothermus,28048,Actinomycetota,Acidothermaceae,Acidothermus,Bacteria
Acrocarpospora,90974,Actinomycetota,Streptosporangiaceae,Acrocarpospora,Bacteria
Actinacidiphila,2995702,Actinomycetota,Streptomycetaceae,Actinacidiphila,Bacteria
Actinoallomurus,667113,Actinomycetota,Thermomonosporaceae,Actinoallomurus,Bacteria
Actinoalloteichus,65496,Actinomycetota,Pseudonocardiaceae,Actinoalloteichus,Bacteria
Actinobacteria,201174,Actinomycetota,NA,NA,Bacteria
Actinobaculum,76833,Actinomycetota,Actinomycetaceae,Actinobaculum,Bacteria
Actinocatenispora,390988,Actinomycetota,Micromonosporaceae,Actinocatenispora,Bacteria
Actinocorallia,58108,Actinomycetota,Thermomonosporaceae,Actinocorallia,Bacteria
Actinocrinis,1920515,Actinomycetota,Actinospicaceae,Actinocrinis,Bacteria
Actinocrispum,1891915,Actinomycetota,Pseudonocardiaceae,Actinocrispum,Bacteria
Actinokineospora,39845,Actinomycetota,Pseudonocardiaceae,Actinokineospora,Bacteria
Actinomadura,1988,Actinomycetota,Thermomonosporaceae,Actinomadura,Bacteria
Actinomarinicola,2789775,Actinomycetota,Iamiaceae,Actinomarinicola,Bacteria
Actinomyces,1654,Actinomycetota,Actinomycetaceae,Actinomyces,Bacteria
Actinomycetaceae,2049,Actinomycetota,Actinomycetaceae,NA,Bacteria
Actinomycetales,2037,Actinomycetota,NA,NA,Bacteria
Actinomycetes,1760,Actinomycetota,NA,NA,Bacteria
Actinomycetospora,402649,Actinomycetota,Pseudonocardiaceae,Actinomycetospora,Bacteria
Actinomycetota,201174,Actinomycetota,NA,NA,Bacteria
Actinophytocola,695999,Actinomycetota,Pseudonocardiaceae,Actinophytocola,Bacteria
Actinoplanes,1865,Actinomycetota,Micromonosporaceae,Actinoplanes,Bacteria
Actinopolymorpha,117156,Actinomycetota,Actinopolymorphaceae,Actinopolymorpha,Bacteria
Actinopolymorphaceae,2805400,Actinomycetota,Actinopolymorphaceae,NA,Bacteria
Actinopolyspora,1849,Actinomycetota,Actinopolysporaceae,Actinopolyspora,Bacteria
Actinorhabdospora,1849525,Actinomycetota,Micromonosporaceae,Actinorhabdospora,Bacteria
Actinospica,414715,Actinomycetota,Actinospicaceae,Actinospica,Bacteria
Actinosynnema,40566,Actinomycetota,Pseudonocardiaceae,Actinosynnema,Bacteria
Actinotalea,458839,Actinomycetota,Cellulomonadaceae,Actinotalea,Bacteria
Actinotignum,1653174,Actinomycetota,Actinomycetaceae,Actinotignum,Bacteria
Adlercreutzia,447020,Actinomycetota,Eggerthellaceae,Adlercreutzia,Bacteria
Aeriscardovia,240233,Actinomycetota,Bifidobacteriaceae,Aeriscardovia,Bacteria
Aeromicrobium,2040,Actinomycetota,Nocardioidaceae,Aeromicrobium,Bacteria
Aestuariimicrobium,396388,Actinomycetota,Propionibacteriaceae,Aestuariimicrobium,Bacteria
Agreia,110934,Actinomycetota,Microbacteriaceae,Agreia,Bacteria
Agrococcus,46352,Actinomycetota,Microbacteriaceae,Agrococcus,Bacteria
Agromyces,33877,Actinomycetota,Microbacteriaceae,Agromyces,Bacteria
Aldersonia,2767320,Actinomycetota,Nocardiaceae,Aldersonia,Bacteria
Alloactinosynnema,674734,Actinomycetota,Pseudonocardiaceae,Alloactinosynnema,Bacteria
Allobranchiibius,2040262,Actinomycetota,Dermacoccaceae,Allobranchiibius,Bacteria
Allocatelliglobosispora,1400054,Actinomycetota,Micromonosporaceae,Allocatelliglobosispora,Bacteria
Allokutzneria,1137960,Actinomycetota,Pseudonocardiaceae,Allokutzneria,Bacteria
Allonocardiopsis,1647181,Actinomycetota,NA,Allonocardiopsis,Bacteria
Allorhizocola,2710870,Actinomycetota,Micromonosporaceae,Allorhizocola,Bacteria
Allosaccharopolyspora,2893576,Actinomycetota,Pseudonocardiaceae,Allosaccharopolyspora,Bacteria
Alloscardovia,419014,Actinomycetota,Bifidobacteriaceae,Alloscardovia,Bacteria
Allostreptomyces,1914443,Actinomycetota,Streptomycetaceae,Allostreptomyces,Bacteria
Alpinimonas,1132766,Actinomycetota,Microbacteriaceae,Alpinimonas,Bacteria
Amnibacterium,1029631,Actinomycetota,Microbacteriaceae,Amnibacterium,Bacteria
Amycolatopsis,1813,Actinomycetota,Pseudonocardiaceae,Amycolatopsis,Bacteria
Angustibacter,908626,Actinomycetota,Kineosporiaceae,Angustibacter,Bacteria
Antiquaquibacter,3108736,Actinomycetota,Microbacteriaceae,Antiquaquibacter,Bacteria
Antricoccus,1920251,Actinomycetota,Antricoccaceae,Antricoccus,Bacteria
Antrihabitans,2799491,Actinomycetota,Nocardiaceae,Antrihabitans,Bacteria
Aquihabitans,1648491,Actinomycetota,Iamiaceae,Aquihabitans,Bacteria
Aquiluna,529881,Actinomycetota,Microbacteriaceae,Aquiluna,Bacteria
Arachnia,2801844,Actinomycetota,Propionibacteriaceae,Arachnia,Bacteria
Arcanobacterium,28263,Actinomycetota,Actinomycetaceae,Arcanobacterium,Bacteria
Arenivirga,2033596,Actinomycetota,Microbacteriaceae,Arenivirga,Bacteria
Arsenicicoccus,267408,Actinomycetota,Intrasporangiaceae,Arsenicicoccus,Bacteria
Arthrobacter,1663,Actinomycetota,Micrococcaceae,Arthrobacter,Bacteria
Asanoa,195964,Actinomycetota,Micromonosporaceae,Asanoa,Bacteria
Atopobiaceae,1643824,Actinomycetota,Atopobiaceae,NA,Bacteria
Atopobium,1380,Actinomycetota,Atopobiaceae,Atopobium,Bacteria
Aurantimicrobium,1705353,Actinomycetota,Microbacteriaceae,Aurantimicrobium,Bacteria
Auraticoccus,1278221,Actinomycetota,Propionibacteriaceae,Auraticoccus,Bacteria
Auritidibacter,1160973,Actinomycetota,Micrococcaceae,Auritidibacter,Bacteria
Austwickia,1184606,Actinomycetota,Dermatophilaceae,Austwickia,Bacteria
Baekduia,2600304,Actinomycetota,Baekduiaceae,Baekduia,Bacteria
Bailinhaonella,2806742,Actinomycetota,Streptosporangiaceae,Bailinhaonella,Bacteria
Barrientosiimonas,1535207,Actinomycetota,Dermacoccaceae,Barrientosiimonas,Bacteria
Beutenbergia,84756,Actinomycetota,Beutenbergiaceae,Beutenbergia,Bacteria
Beutenbergiaceae,125316,Actinomycetota,Beutenbergiaceae,NA,Bacteria
Bifidobacteriaceae,31953,Actinomycetota,Bifidobacteriaceae,NA,Bacteria
Bifidobacteriales,85004,Actinomycetota,NA,NA,Bacteria
Bifidobacterium,1678,Actinomycetota,Bifidobacteriaceae,Bifidobacterium,Bacteria
Blastococcus,38501,Actinomycetota,Geodermatophilaceae,Blastococcus,Bacteria
Bogoriella,56054,Actinomycetota,Allobogoriellaceae,Allobogoriella,Bacteria
Bombiscardovia,1159909,Actinomycetota,Bifidobacteriaceae,Bombiscardovia,Bacteria
Boudabousia,2767318,Actinomycetota,Actinomycetaceae,Boudabousia,Bacteria
Bowdeniella,2767322,Actinomycetota,Actinomycetaceae,Bowdeniella,Bacteria
Brachybacterium,43668,Actinomycetota,Dermabacteraceae,Brachybacterium,Bacteria
Branchiibius,908251,Actinomycetota,Dermacoccaceae,Branchiibius,Bacteria
Brevibacterium,1696,Actinomycetota,Brevibacteriaceae,Brevibacterium,Bacteria
Brooklawnia,369926,Actinomycetota,Propionibacteriaceae,Brooklawnia,Bacteria
Buchananella,2767323,Actinomycetota,Actinomycetaceae,Buchananella,Bacteria
Calidifontibacter,1158982,Actinomycetota,Dermacoccaceae,Calidifontibacter,Bacteria
Canibacter,1648503,Actinomycetota,Microbacteriaceae,Canibacter,Bacteria
Capillimicrobium,2976759,Actinomycetota,Capillimicrobiaceae,Capillimicrobium,Bacteria
Carbonactinospora,2864378,Actinomycetota,Carbonactinosporaceae,Carbonactinospora,Bacteria
Catellatospora,53365,Actinomycetota,Micromonosporaceae,Catellatospora,Bacteria
Catelliglobosispora,1121253,Actinomycetota,Micromonosporaceae,Catelliglobosispora,Bacteria
Catenulispora,414878,Actinomycetota,Catenulisporaceae,Catenulispora,Bacteria
Catenulisporales,414714,Actinomycetota,NA,NA,Bacteria
Catenuloplanes,33874,Actinomycetota,Micromonosporaceae,Catenuloplanes,Bacteria
Cellulomonadaceae,85016,Actinomycetota,Cellulomonadaceae,NA,Bacteria
Cellulomonas,1707,Actinomycetota,Cellulomonadaceae,Cellulomonas,Bacteria
Cellulosimicrobium,157920,Actinomycetota,Promicromonosporaceae,Cellulosimicrobium,Bacteria
Citricoccus,169133,Actinomycetota,Micrococcaceae,Citricoccus,Bacteria
Clavibacter,1573,Actinomycetota,Microbacteriaceae,Clavibacter,Bacteria
Cnuibacter,1759331,Actinomycetota,Microbacteriaceae,Cnuibacter,Bacteria
Collinsella,102106,Actinomycetota,Coriobacteriaceae,Collinsella,Bacteria
Conexibacter,191494,Actinomycetota,Conexibacteraceae,Conexibacter,Bacteria
Conexibacteraceae,320583,Actinomycetota,Conexibacteraceae,NA,Bacteria
Conyzicola,1648520,Actinomycetota,Microbacteriaceae,Conyzicola,Bacteria
Coriobacteriaceae,84107,Actinomycetota,Coriobacteriaceae,NA,Bacteria
Coriobacteriales,84999,Actinomycetota,NA,NA,Bacteria
Coriobacteriia,84998,Actinomycetota,NA,NA,Bacteria
Coriobacterium,33870,Actinomycetota,Coriobacteriaceae,Coriobacterium,Bacteria
Corynebacterium,1716,Actinomycetota,Corynebacteriaceae,Corynebacterium,Bacteria
Couchioplanes,56433,Actinomycetota,Micromonosporaceae,Couchioplanes,Bacteria
Crossiella,130795,Actinomycetota,Pseudonocardiaceae,Crossiella,Bacteria
Cryobacterium,69578,Actinomycetota,Microbacteriaceae,Cryobacterium,Bacteria
Cryocola,205841,Actinomycetota,Microbacteriaceae,Cryocola,Bacteria
Cryptosporangiaceae,622454,Actinomycetota,Cryptosporangiaceae,NA,Bacteria
Cryptosporangium,65502,Actinomycetota,Cryptosporangiaceae,Cryptosporangium,Bacteria
Cumulibacter,2027529,Actinomycetota,Geodermatophilaceae,Cumulibacter,Bacteria
Curtobacterium,2034,Actinomycetota,Microbacteriaceae,Curtobacterium,Bacteria
Cutibacterium,1912216,Actinomycetota,Propionibacteriaceae,Cutibacterium,Bacteria
Dactylosporangium,35753,Actinomycetota,Micromonosporaceae,Dactylosporangium,Bacteria
Demequina,577469,Actinomycetota,Demequinaceae,Demequina,Bacteria
Demequinaceae,1042322,Actinomycetota,Demequinaceae,NA,Bacteria
Demetria,63958,Actinomycetota,Dermacoccaceae,Demetria,Bacteria
Denitrobacterium,79603,Actinomycetota,Eggerthellaceae,Denitrobacterium,Bacteria
Dermabacter,36739,Actinomycetota,Dermabacteraceae,Dermabacter,Bacteria
Dermabacteraceae,85020,Actinomycetota,Dermabacteraceae,NA,Bacteria
Dermacoccus,57495,Actinomycetota,Dermacoccaceae,Dermacoccus,Bacteria
Dermatobacter,3075137,Actinomycetota,Iamiaceae,Dermatobacter,Bacteria
Dermatophilaceae,85018,Actinomycetota,Dermatophilaceae,NA,Bacteria
Dermatophilus,1862,Actinomycetota,Dermatophilaceae,Dermatophilus,Bacteria
Desertihabitans,2676837,Actinomycetota,Propionibacteriaceae,Desertihabitans,Bacteria
Desertimonas,2448024,Actinomycetota,Ilumatobacteraceae,Desertimonas,Bacteria
Devriesea,472568,Actinomycetota,Dermabacteraceae,Devriesea,Bacteria
Diaminobutyricibacter,110932,Actinomycetota,Microbacteriaceae,Leifsonia,Bacteria
Dietzia,37914,Actinomycetota,Dietziaceae,Dietzia,Bacteria
Eggerthella,84111,Actinomycetota,Eggerthellaceae,Eggerthella,Bacteria
Eggerthellaceae,1643826,Actinomycetota,Eggerthellaceae,NA,Bacteria
Eggerthellales,1643822,Actinomycetota,NA,NA,Bacteria
Egibacteraceae,1747769,Actinomycetota,Egibacteraceae,NA,Bacteria
Egicoccus,1755825,Actinomycetota,Egicoccaceae,Egicoccus,Bacteria
Ellagibacter,2137577,Actinomycetota,Eggerthellaceae,Ellagibacter,Bacteria
Embleya,2699295,Actinomycetota,Streptomycetaceae,Embleya,Bacteria
Enemella,2896773,Actinomycetota,Propionibacteriaceae,Enemella,Bacteria
Enteractinococcus,1164863,Actinomycetota,Micrococcaceae,Enteractinococcus,Bacteria
Enterorhabdus,580024,Actinomycetota,Eggerthellaceae,Enterorhabdus,Bacteria
Epidermidibacterium,2078948,Actinomycetota,Sporichthyaceae,Epidermidibacterium,Bacteria
Euzebya,908623,Actinomycetota,Euzebyaceae,Euzebya,Bacteria
Euzebyaceae,908622,Actinomycetota,Euzebyaceae,NA,Bacteria
Euzebyales,908621,Actinomycetota,NA,NA,Bacteria
Excellospora,1988,Actinomycetota,Thermomonosporaceae,Actinomadura,Bacteria
Fannyhessea,2767327,Actinomycetota,Atopobiaceae,Fannyhessea,Bacteria
Ferrimicrobium,121038,Actinomycetota,Acidimicrobiaceae,Ferrimicrobium,Bacteria
Flaviflexus,1522056,Actinomycetota,Actinomycetaceae,Flaviflexus,Bacteria
Flavimobilis,2756312,Actinomycetota,Jonesiaceae,Flavimobilis,Bacteria
Flexivirga,1096776,Actinomycetota,Dermacoccaceae,Flexivirga,Bacteria
Fodinicola,435913,Actinomycetota,NA,Fodinicola,Bacteria
Frankia,1854,Actinomycetota,Frankiaceae,Frankia,Bacteria
Frankiaceae,74712,Actinomycetota,Frankiaceae,NA,Bacteria
Frankiales,85013,Actinomycetota,NA,NA,Bacteria
Frankineae,85013,Actinomycetota,NA,NA,Bacteria
Friedmanniella,53387,Actinomycetota,Nocardioidaceae,Friedmanniella,Bacteria
Frigoribacterium,96492,Actinomycetota,Microbacteriaceae,Frigoribacterium,Bacteria
Frondihabitans,447237,Actinomycetota,Microbacteriaceae,Frondihabitans,Bacteria
Gaiella,1154586,Actinomycetota,Gaiellaceae,Gaiella,Bacteria
Gaiellaceae,1154585,Actinomycetota,Gaiellaceae,NA,Bacteria
Gaiellales,1154584,Actinomycetota,NA,NA,Bacteria
Galactobacter,2676121,Actinomycetota,Micrococcaceae,Galactobacter,Bacteria
Galbitalea,1484107,Actinomycetota,Microbacteriaceae,Galbitalea,Bacteria
Gandjariella,2662170,Actinomycetota,Pseudonocardiaceae,Gandjariella,Bacteria
Gardnerella,2701,Actinomycetota,Bifidobacteriaceae,Gardnerella,Bacteria
Garicola,1774136,Actinomycetota,Micrococcaceae,Garicola,Bacteria
Geodermatophilaceae,85030,Actinomycetota,Geodermatophilaceae,NA,Bacteria
Geodermatophilales,1643682,Actinomycetota,NA,NA,Bacteria
Geodermatophilus,1860,Actinomycetota,Geodermatophilaceae,Geodermatophilus,Bacteria
Georgenia,154116,Actinomycetota,Allobogoriellaceae,Georgenia,Bacteria
Glaciibacter,501022,Actinomycetota,Microbacteriaceae,Glaciibacter,Bacteria
Glaciihabitans,1649454,Actinomycetota,Microbacteriaceae,Glaciihabitans,Bacteria
Gleimia,2692113,Actinomycetota,Actinomycetaceae,Gleimia,Bacteria
Glutamicibacter,1742989,Actinomycetota,Micrococcaceae,Glutamicibacter,Bacteria
Glycomyces,58113,Actinomycetota,Glycomycetaceae,Glycomyces,Bacteria
Goodfellowiella,334857,Actinomycetota,Pseudonocardiaceae,Goodfellowiella,Bacteria
Gordonia,2053,Actinomycetota,Gordoniaceae,Gordonia,Bacteria
Gordonibacter,644652,Actinomycetota,Eggerthellaceae,Gordonibacter,Bacteria
Granulicoccus,448176,Actinomycetota,Propionibacteriaceae,Granulicoccus,Bacteria
Gryllotalpicola,1195526,Actinomycetota,Microbacteriaceae,Gryllotalpicola,Bacteria
Gulosibacter,256818,Actinomycetota,Microbacteriaceae,Gulosibacter,Bacteria
Haloactinopolyspora,1217101,Actinomycetota,Jiangellaceae,Haloactinopolyspora,Bacteria
Haloechinothrix,1425377,Actinomycetota,Pseudonocardiaceae,Haloechinothrix,Bacteria
Halopolyspora,1649455,Actinomycetota,NA,Halopolyspora,Bacteria
Halosaccharopolyspora,2893577,Actinomycetota,Pseudonocardiaceae,Halosaccharopolyspora,Bacteria
Halostreptopolyspora,3373668,Actinomycetota,Nocardiopsidaceae,Halostreptopolyspora,Bacteria
Hamadaea,1121254,Actinomycetota,Micromonosporaceae,Hamadaea,Bacteria
Helcobacillus,1161125,Actinomycetota,Dermabacteraceae,Helcobacillus,Bacteria
Herbiconiux,881616,Actinomycetota,Microbacteriaceae,Herbiconiux,Bacteria
Herbidospora,28443,Actinomycetota,Streptosporangiaceae,Herbidospora,Bacteria
Herbihabitans,1884922,Actinomycetota,Pseudonocardiaceae,Herbihabitans,Bacteria
Homoserinibacter,1649457,Actinomycetota,Microbacteriaceae,Homoserinibacter,Bacteria
Homoserinimonas,1434009,Actinomycetota,Microbacteriaceae,Homoserinimonas,Bacteria
Hoyosella,697025,Actinomycetota,Hoyosellaceae,Hoyosella,Bacteria
Humibacillus,556178,Actinomycetota,Intrasporangiaceae,Humibacillus,Bacteria
Humibacter,427753,Actinomycetota,Microbacteriaceae,Humibacter,Bacteria
Iamia,467975,Actinomycetota,Iamiaceae,Iamia,Bacteria
Ilumatobacter,682522,Actinomycetota,Ilumatobacteraceae,Ilumatobacter,Bacteria
Ilumatobacteraceae,2448023,Actinomycetota,Ilumatobacteraceae,NA,Bacteria
Intrasporangiaceae,85021,Actinomycetota,Intrasporangiaceae,NA,Bacteria
Intrasporangium,53357,Actinomycetota,Intrasporangiaceae,Intrasporangium,Bacteria
Isoptericola,254250,Actinomycetota,Promicromonosporaceae,Isoptericola,Bacteria
Janibacter,53457,Actinomycetota,Intrasporangiaceae,Janibacter,Bacteria
Jatrophihabitans,1434010,Actinomycetota,Jatrophihabitantaceae,Jatrophihabitans,Bacteria
Jatrophihabitantaceae,2805416,Actinomycetota,Jatrophihabitantaceae,NA,Bacteria
Jiangella,281472,Actinomycetota,Jiangellaceae,Jiangella,Bacteria
Jiangellaceae,1217100,Actinomycetota,Jiangellaceae,NA,Bacteria
Jiangellales,1217098,Actinomycetota,NA,NA,Bacteria
Jidongwangia,1398561,Actinomycetota,Micromonosporaceae,Jidongwangia,Bacteria
Jonesia,43673,Actinomycetota,Jonesiaceae,Jonesia,Bacteria
Jongsikchunia,2767345,Actinomycetota,Gordoniaceae,Jongsikchunia,Bacteria
Kibdelosporangium,2029,Actinomycetota,Pseudonocardiaceae,Kibdelosporangium,Bacteria
Kineococcus,33981,Actinomycetota,Kineosporiaceae,Kineococcus,Bacteria
Kineosphaera,211469,Actinomycetota,Dermatophilaceae,Kineosphaera,Bacteria
Kineosporia,49184,Actinomycetota,Kineosporiaceae,Kineosporia,Bacteria
Kineosporiaceae,83778,Actinomycetota,Kineosporiaceae,NA,Bacteria
Kitasatospora,2063,Actinomycetota,Streptomycetaceae,Kitasatospora,Bacteria
Klenkia,2183612,Actinomycetota,Geodermatophilaceae,Klenkia,Bacteria
Knoellia,136099,Actinomycetota,Intrasporangiaceae,Knoellia,Bacteria
Kocuria,57493,Actinomycetota,Micrococcaceae,Kocuria,Bacteria
Krasilnikovia,349312,Actinomycetota,Micromonosporaceae,Krasilnikovia,Bacteria
Kribbella,182639,Actinomycetota,Kribbellaceae,Kribbella,Bacteria
Kribbellaceae,2726069,Actinomycetota,Kribbellaceae,NA,Bacteria
Kutzneria,43356,Actinomycetota,Pseudonocardiaceae,Kutzneria,Bacteria
Kytococcus,57499,Actinomycetota,Kytococcaceae,Kytococcus,Bacteria
Labedaea,1434013,Actinomycetota,Pseudonocardiaceae,Labedaea,Bacteria
Labedella,390250,Actinomycetota,Microbacteriaceae,Labedella,Bacteria
Lacisediminihabitans,2740558,Actinomycetota,Microbacteriaceae,Lacisediminihabitans,Bacteria
Lapillicoccus,402170,Actinomycetota,Intrasporangiaceae,Lapillicoccus,Bacteria
Lawsonella,1847725,Actinomycetota,Lawsonellaceae,Lawsonella,Bacteria
Leekyejoonella,2750262,Actinomycetota,Dermacoccaceae,Leekyejoonella,Bacteria
Leifsonia,110932,Actinomycetota,Microbacteriaceae,Leifsonia,Bacteria
Lentzea,165301,Actinomycetota,Pseudonocardiaceae,Lentzea,Bacteria
Leucobacter,55968,Actinomycetota,Microbacteriaceae,Leucobacter,Bacteria
Lipingzhangella,1874625,Actinomycetota,Nocardiopsidaceae,Lipingzhangella,Bacteria
Litorihabitans,2813793,Actinomycetota,Beutenbergiaceae,Litorihabitans,Bacteria
Longimycelium,1434016,Actinomycetota,Pseudonocardiaceae,Longimycelium,Bacteria
Longispora,203522,Actinomycetota,Micromonosporaceae,Longispora,Bacteria
Luteimicrobium,754249,Actinomycetota,NA,Luteimicrobium,Bacteria
Luteipulveratus,745364,Actinomycetota,Dermacoccaceae,Luteipulveratus,Bacteria
Luteococcus,33983,Actinomycetota,Propionibacteriaceae,Luteococcus,Bacteria
Mangrovactinospora,2995703,Actinomycetota,Streptomycetaceae,Mangrovactinospora,Bacteria
Mangrovihabitans,2005371,Actinomycetota,Micromonosporaceae,Mangrovihabitans,Bacteria
Marinactinospora,647960,Actinomycetota,Nocardiopsidaceae,Marinactinospora,Bacteria
Marinitenerispora,2173855,Actinomycetota,Nocardiopsidaceae,Marinitenerispora,Bacteria
Marisediminicola,1230698,Actinomycetota,Microbacteriaceae,Marisediminicola,Bacteria
Marmoricola,86795,Actinomycetota,Nocardioidaceae,Marmoricola,Bacteria
Metallococcus,2868274,Actinomycetota,Dermacoccaceae,Metallococcus,Bacteria
Microbacteriaceae,85023,Actinomycetota,Microbacteriaceae,NA,Bacteria
Microbacterium,33882,Actinomycetota,Microbacteriaceae,Microbacterium,Bacteria
Microbispora,2005,Actinomycetota,Streptosporangiaceae,Microbispora,Bacteria
Microcella,337004,Actinomycetota,Microbacteriaceae,Microcella,Bacteria
Micrococcaceae,1268,Actinomycetota,Micrococcaceae,NA,Bacteria
Micrococcales,85006,Actinomycetota,NA,NA,Bacteria
Micrococcus,1269,Actinomycetota,Micrococcaceae,Micrococcus,Bacteria
Microlunatus,29404,Actinomycetota,Propionibacteriaceae,Microlunatus,Bacteria
Micromonospora,1873,Actinomycetota,Micromonosporaceae,Micromonospora,Bacteria
Micromonosporaceae,28056,Actinomycetota,Micromonosporaceae,NA,Bacteria
Micropruina,116071,Actinomycetota,Nocardioidaceae,Micropruina,Bacteria
Microterricola,518733,Actinomycetota,Microbacteriaceae,Microterricola,Bacteria
