"Species","Genus","Family","VTX_num","TaxLabel","Control_present","n_AMF_present","n_AMF_absent","AMF_present_in","AMF_absent_in","Status","Status_strict"
"VTX00332","Glomus","Glomeraceae",332,"Glomus VTX00332",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00342","Glomus","Glomeraceae",342,"Glomus VTX00342",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00343","Glomus","Glomeraceae",343,"Glomus VTX00343",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00364","Glomus","Glomeraceae",364,"Glomus VTX00364",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00372","Glomus","Glomeraceae",372,"Glomus VTX00372",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00381","Glomus","Glomeraceae",381,"Glomus VTX00381",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00384","Glomus","Glomeraceae",384,"Glomus VTX00384",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00395","Glomus","Glomeraceae",395,"Glomus VTX00395",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00397","Glomus","Glomeraceae",397,"Glomus VTX00397",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00407","Glomus","Glomeraceae",407,"Glomus VTX00407",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00409","Glomus","Glomeraceae",409,"Glomus VTX00409",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00411","Glomus","Glomeraceae",411,"Glomus VTX00411",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00412","Glomus","Glomeraceae",412,"Glomus VTX00412",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00418","Glomus","Glomeraceae",418,"Glomus VTX00418",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00423","Glomus","Glomeraceae",423,"Glomus VTX00423",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00238","Paraglomus","Paraglomeraceae",238,"Paraglomus VTX00238",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00281","Paraglomus","Paraglomeraceae",281,"Paraglomus VTX00281",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00308","Paraglomus","Paraglomeraceae",308,"Paraglomus VTX00308",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00335","Paraglomus","Paraglomeraceae",335,"Paraglomus VTX00335",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00348","Paraglomus","Paraglomeraceae",348,"Paraglomus VTX00348",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00350","Paraglomus","Paraglomeraceae",350,"Paraglomus VTX00350",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00352","Paraglomus","Paraglomeraceae",352,"Paraglomus VTX00352",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00375","Paraglomus","Paraglomeraceae",375,"Paraglomus VTX00375",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00446","Paraglomus","Paraglomeraceae",446,"Paraglomus VTX00446",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"Unassigned","Unassigned","Unassigned",NA,"Unassigned Unassigned",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
