"AMF","Species","MeanRelAbundance","RNA_Control","ChangeFromControl","AbsChange","Genus","Family","VTX_num","TaxLabel"
"Cuba8","VTX00143",0.0321723458717485,0.0246976380604908,0.00747470781125769,0.00747470781125769,"Glomus","Glomeraceae",143,"Glomus VTX00143"
"Cuba8","VTX00153",0.00260305285611911,0.00204521089134732,0.000557841964771788,0.000557841964771788,"Glomus","Glomeraceae",153,"Glomus VTX00153"
"Cuba8","VTX00155",0.030097292915033,0.0145374207260853,0.0155598721889477,0.0155598721889477,"Glomus","Glomeraceae",155,"Glomus VTX00155"
"Cuba8","VTX00160",0.0108042891122573,0.00475938329490696,0.00604490581735033,0.00604490581735033,"Glomus","Glomeraceae",160,"Glomus VTX00160"
"Cuba8","VTX00163",0.0111941362039463,0.00757005772380162,0.00362407848014472,0.00362407848014472,"Glomus","Glomeraceae",163,"Glomus VTX00163"
"Cuba8","VTX00166",0.0102852129886892,0.00523311713966454,0.00505209584902465,0.00505209584902465,"Glomus","Glomeraceae",166,"Glomus VTX00166"
"Cuba8","VTX00193",0.0380306119359492,0.0188028200097708,0.0192277919261784,0.0192277919261784,"Claroideoglomus","Claroideoglomeraceae",193,"Claroideoglomus VTX00193"
"Cuba8","VTX00197",0.000730640568029831,0.000520020800832033,0.000210619767197797,0.000210619767197797,"Glomus","Glomeraceae",197,"Glomus VTX00197"
"Cuba8","VTX00199",0.00220220692837939,0.00132978249728418,0.00087242443109521,0.00087242443109521,"Glomus","Glomeraceae",199,"Glomus VTX00199"
"Cuba8","VTX00219",0.00209259739542245,0.000712922058261432,0.00137967533716102,0.00137967533716102,"Glomus","Glomeraceae",219,"Glomus VTX00219"
"Cuba8","VTX00248",0.00133777134901088,0.000695753181177486,0.000642018167833398,0.000642018167833398,"Glomus","Glomeraceae",248,"Glomus VTX00248"
"Cuba8","VTX00286",0.00350906467295594,0.00275512860612547,0.000753936066830471,0.000753936066830471,"Scutellospora","Diversisporaceae",286,"Scutellospora VTX00286"
"Cuba8","VTX00329",0.00882085083944662,0.00750287341885668,0.00131797742058995,0.00131797742058995,"Glomus","Glomeraceae",329,"Glomus VTX00329"
"Cuba8","VTX00332",0.00389894327546158,0.00208501521677776,0.00181392805868382,0.00181392805868382,"Glomus","Glomeraceae",332,"Glomus VTX00332"
"Cuba8","VTX00367",0.00155984628356838,0.000427156764865657,0.00113268951870272,0.00113268951870272,"Glomus","Glomeraceae",367,"Glomus VTX00367"
"Cuba8","VTX00370",0.0114106793164309,0.00826437149809928,0.00314630781833163,0.00314630781833163,"Glomus","Glomeraceae",370,"Glomus VTX00370"
"Cuba8","VTX00385",0.010987229137107,0.00695177680332049,0.00403545233378646,0.00403545233378646,"Glomus","Glomeraceae",385,"Glomus VTX00385"
"Cuba8","VTX00396",0.000550764310700139,0.000267527418289826,0.000283236892410314,0.000283236892410314,"Glomus","Glomeraceae",396,"Glomus VTX00396"
"DAOM197198","VTX00062",0.0156700227478395,0.0120838386752708,0.00358618407256872,0.00358618407256872,"Diversispora","Diversisporaceae",62,"Diversispora VTX00062"
"DAOM197198","VTX00089",0.00494924503740309,0.00101286027731504,0.00393638476008805,0.00393638476008805,"Glomus","Glomeraceae",89,"Glomus VTX00089"
"DAOM197198","VTX00128",0.00469462333169416,0.00372257359279576,0.000972049738898408,0.000972049738898408,"Glomus","Glomeraceae",128,"Glomus VTX00128"
"DAOM197198","VTX00143",0.0276064888718516,0.0246976380604908,0.00290885081136077,0.00290885081136077,"Glomus","Glomeraceae",143,"Glomus VTX00143"
"DAOM197198","VTX00153",0.00243963032340824,0.00204521089134732,0.000394419432060914,0.000394419432060914,"Glomus","Glomeraceae",153,"Glomus VTX00153"
"DAOM197198","VTX00155",0.0253148248014923,0.0145374207260853,0.010777404075407,0.010777404075407,"Glomus","Glomeraceae",155,"Glomus VTX00155"
"DAOM197198","VTX00160",0.0107503595641638,0.00475938329490696,0.00599097626925686,0.00599097626925686,"Glomus","Glomeraceae",160,"Glomus VTX00160"
"DAOM197198","VTX00163",0.011849434294148,0.00757005772380162,0.00427937657034638,0.00427937657034638,"Glomus","Glomeraceae",163,"Glomus VTX00163"
"DAOM197198","VTX00166",0.0158521677635678,0.00523311713966454,0.0106190506239032,0.0106190506239032,"Glomus","Glomeraceae",166,"Glomus VTX00166"
"DAOM197198","VTX00193",0.0299037541503027,0.0188028200097708,0.0111009341405319,0.0111009341405319,"Claroideoglomus","Claroideoglomeraceae",193,"Claroideoglomus VTX00193"
