"AMF","Species","MeanRelAbundance","RNA_Control","ChangeFromControl","AbsChange","Genus","Family","VTX_num","TaxLabel"
"Cuba8","VTX00186",0.000700670101399455,0.00400660780881963,-0.00330593770742018,0.00330593770742018,"Glomus","Glomeraceae",186,"Glomus VTX00186"
"Cuba8","VTX00187",0.00219767439140646,0.00292607089817992,-0.000728396506773466,0.000728396506773466,"Glomus","Glomeraceae",187,"Glomus VTX00187"
"Cuba8","VTX00194",0.00107334878529445,0.00508406138031894,-0.0040107125950245,0.0040107125950245,"Glomus","Glomeraceae",194,"Glomus VTX00194"
"Cuba8","VTX00212",0.000620674584762145,0.00260709499043142,-0.00198642040566928,0.00198642040566928,"Glomus","Glomeraceae",212,"Glomus VTX00212"
"Cuba8","VTX00225",0.00174678007685014,0.00217005027080162,-0.000423270193951477,0.000423270193951477,"Claroideoglomus","Claroideoglomeraceae",225,"Claroideoglomus VTX00225"
"Cuba8","VTX00247",0.000141048884670428,0.00269816214621307,-0.00255711326154265,0.00255711326154265,"Glomus","Glomeraceae",247,"Glomus VTX00247"
"Cuba8","VTX00295",0.000668687481475011,0.00382360274885109,-0.00315491526737608,0.00315491526737608,"Glomus","Glomeraceae",295,"Glomus VTX00295"
"Cuba8","VTX00301",0.000696218938042888,0.00234620999682336,-0.00164999105878047,0.00164999105878047,"Glomus","Glomeraceae",301,"Glomus VTX00301"
"Cuba8","VTX00304",0.00436152649278624,0.00633438447361501,-0.00197285798082877,0.00197285798082877,"Glomus","Glomeraceae",304,"Glomus VTX00304"
"Cuba8","VTX00315",0.000555409084952767,0.00346510959325218,-0.00290970050829941,0.00290970050829941,"Glomus","Glomeraceae",315,"Glomus VTX00315"
"Cuba8","VTX00342",0.00576248426895459,0.0105798677013452,-0.00481738343239057,0.00481738343239057,"Glomus","Glomeraceae",342,"Glomus VTX00342"
"Cuba8","VTX00345",0.00123415357520408,0.00345441309145154,-0.00222025951624746,0.00222025951624746,"Glomus","Glomeraceae",345,"Glomus VTX00345"
"Cuba8","VTX00356",0.0125122846079631,0.0136168800481648,-0.0011045954402017,0.0011045954402017,"Diversispora","Diversisporaceae",356,"Diversispora VTX00356"
"Cuba8","VTX00366",0.000869770951350867,0.00237020693069782,-0.00150043597934696,0.00150043597934696,"Glomus","Glomeraceae",366,"Glomus VTX00366"
"Cuba8","VTX00403",0.00527361791082399,0.00646059142039812,-0.00118697350957413,0.00118697350957413,"Glomus","Glomeraceae",403,"Glomus VTX00403"
"Cuba8","VTX00409",0.00630459236315431,0.00819352835320043,-0.00188893599004612,0.00188893599004612,"Glomus","Glomeraceae",409,"Glomus VTX00409"
"Cuba8","VTX00439",0.000859475719810915,0.00230258081877982,-0.00144310509896891,0.00144310509896891,"Glomus","Glomeraceae",439,"Glomus VTX00439"
"DAOM197198","VTX00065",0.00167638641560039,0.00584795262391602,-0.00417156620831564,0.00417156620831564,"Glomus","Glomeraceae",65,"Glomus VTX00065"
"DAOM197198","VTX00069",0.00495197521287319,0.00623257313565813,-0.00128059792278494,0.00128059792278494,"Glomus","Glomeraceae",69,"Glomus VTX00069"
"DAOM197198","VTX00074",0.00104409835732325,0.00269941331638342,-0.00165531495906017,0.00165531495906017,"Glomus","Glomeraceae",74,"Glomus VTX00074"
"DAOM197198","VTX00092",0.000618536549589333,0.00521642883585197,-0.00459789228626264,0.00459789228626264,"Glomus","Glomeraceae",92,"Glomus VTX00092"
"DAOM197198","VTX00093",0.000301952629707114,0.00438406840725815,-0.00408211577755104,0.00408211577755104,"Glomus","Glomeraceae",93,"Glomus VTX00093"
