"Sample","AMF","Fert","Till","Family","Genus","Species","Metabarcoding","RNA_taxonomy","detected_metabar","detected_rna","detection_class"
"125","Control","High","No","Glomeraceae","Glomus","VTX00183",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00191",0.000229200091680037,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00194",0.00275040110016044,0.00130983567516075,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00197",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00206",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00209",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00212",0,0.00107168373422243,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00213",0.0236076094430438,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00214",0.0025212010084804,0.00428673493688974,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00216",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00222",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00233",0.000458400183360073,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00234",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00235",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00247",0,0.00464396284829721,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00248",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00287",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00294",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00301",0,0.00357227911407478,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00304",0.000458400183360073,0.0115503691355085,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00310",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00312",0,0.00202429149797571,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00319",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00322",0.000458400183360073,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00323",0.00389640155856062,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00331",0.0655512262204905,0.119552274351036,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00332",0.00068760027504011,0.00214336746844487,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00342",0.0128352051340821,0.0135746606334842,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00343",0.00412560165024066,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00359",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00360",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00361",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00364",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00366",0,0.000833531793284115,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00371",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00372",0,0.00119075970469159,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00381",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00383",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00384",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00388",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00395",0.00206280082512033,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00397",0.0142104056841623,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00398",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00399",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00407",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00409",0.00297960119184048,0.00845439390331031,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00411",0.000916800366720147,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00412",0.000458400183360073,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00415",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00418",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00419",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00420",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00423",0.140270456108182,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00437",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Paraglomeraceae","Paraglomus","VTX00238",0.00320880128352051,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Paraglomeraceae","Paraglomus","VTX00281",0.000916800366720147,0.000238151940938319,TRUE,TRUE,"Both"
"125","Control","High","No","Paraglomeraceae","Paraglomus","VTX00308",0.0325464130185652,0.00119075970469159,TRUE,TRUE,"Both"
