Sample,AMF,Fert,Till,detection_class,n_VTX
59,CC4,No,Till,Metabarcoding_only,41
59,CC4,No,Till,Neither,80
65,Cuba8,No,Till,Metabarcoding_only,36
65,Cuba8,No,Till,Neither,85
7,Cuba8,High,Yes,RNA_only,51
71,Control,No,Till,Metabarcoding_only,49
71,Control,No,Till,Neither,72
72,DAOM197198,High,No,Metabarcoding_only,42
72,DAOM197198,High,No,Neither,79
74,Control,No,No,Metabarcoding_only,48
74,Control,No,No,Neither,73
8,Cuba8,High,No,Both,19
8,Cuba8,High,No,Metabarcoding_only,29
8,Cuba8,High,No,Neither,60
8,Cuba8,High,No,RNA_only,40
82,CC4,No,Till,Metabarcoding_only,43
82,CC4,No,Till,Neither,78
84,Control,High,No,Metabarcoding_only,40
84,Control,High,No,Neither,81
86,DAOM197198,No,Till,Metabarcoding_only,23
86,DAOM197198,No,Till,Neither,98
88,CC4,High,No,Metabarcoding_only,22
88,CC4,High,No,Neither,99
93,CC4,No,No,Metabarcoding_only,39
93,CC4,No,No,Neither,82
95,Control,High,Till,Metabarcoding_only,39
95,Control,High,Till,Neither,82
98,Control,No,No,Metabarcoding_only,27
98,Control,No,No,Neither,94
