Sample,AMF,Fert,Till,Family,Genus,Species,Metabarcoding,RNA_taxonomy,detected_metabar,detected_rna,detection_class
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00197,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00206,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00209,1,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00212,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00213,10,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00214,127,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00216,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00222,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00233,16,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00234,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00235,3,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00247,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00248,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00287,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00294,1,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00301,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00304,1,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00310,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00312,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00319,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00322,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00323,31,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00331,25,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00332,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00342,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00343,5,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00359,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00360,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00361,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00364,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00366,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00371,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00372,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00381,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00383,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00384,1,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00388,0,0,FALSE,FALSE,Neither
